id,name,event_id
1,john,1
10,Nicolas,3
11,Caroline,3
12,Prince,4
13,William,4
14,Charles,4
15,Meghan,4
16,Kate,4
17,Peter,5
18,James,5
19,Perpetua,5
2,don,1
20,Christy,5
21,Anderson,5
22,Beth,6
23,Mary,6
24,Lisa,6
25,Jose,6
26,Pete,6
27,Mitchel,7
28,Cameron,7
29,Phil,7
3,Gwen,1
30,Jay,7
31,Luke,7
32,Haley,8
33,Alex,8
34,Lilly,8
35,Claire,8
36,Gloria,8
37,Sheldon,9
38,Howard,9
39,Raj,9
4,john,2
40,Leonard,9
41,Bob,9
42,Penny,10
43,Bernadette,10
44,Amie,10
45,Flora,10
46,Harriet,10
47,Vicky,1
48,Shelly,1
49,Cliff,2
5,michael,2
50,Sabrina,2
6,bolt,2
7,Robert,3
8,Mike,3
9,Sam,3
